,Date,Price
0,2021-01-04,729.77001953125
1,2021-01-05,735.1099853515625
2,2021-01-06,755.97998046875
3,2021-01-07,816.0399780273438
4,2021-01-08,880.02001953125
5,2021-01-11,811.1900024414062
6,2021-01-12,849.4400024414062
7,2021-01-13,854.4099731445312
8,2021-01-14,845.0
9,2021-01-15,826.1599731445312
10,2021-01-19,844.5499877929688
11,2021-01-20,850.4500122070312
12,2021-01-21,844.989990234375
13,2021-01-22,846.6400146484375
14,2021-01-25,880.7999877929688
15,2021-01-26,883.0900268554688
16,2021-01-27,864.1599731445312
17,2021-01-28,835.4299926757812
18,2021-01-29,793.530029296875
19,2021-02-01,839.8099975585938
20,2021-02-02,872.7899780273438
21,2021-02-03,854.6900024414062
22,2021-02-04,849.989990234375
23,2021-02-05,852.22998046875
24,2021-02-08,863.4199829101562
25,2021-02-09,849.4600219726562
26,2021-02-10,804.8200073242188
27,2021-02-11,811.6599731445312
28,2021-02-12,816.1199951171875
29,2021-02-16,796.219970703125
30,2021-02-17,798.1500244140625
31,2021-02-18,787.3800048828125
32,2021-02-19,781.2999877929688
33,2021-02-22,714.5
34,2021-02-23,698.8400268554688
35,2021-02-24,742.02001953125
36,2021-02-25,682.219970703125
37,2021-02-26,675.5
38,2021-03-01,718.4299926757812
39,2021-03-02,686.4400024414062
40,2021-03-03,653.2000122070312
41,2021-03-04,621.4400024414062
42,2021-03-05,597.9500122070312
43,2021-03-08,563.0
44,2021-03-09,673.5800170898438
45,2021-03-10,668.0599975585938
46,2021-03-11,699.5999755859375
47,2021-03-12,693.72998046875
