,Date,Price
0,2014-01-01,15.369903564453125
1,2014-02-01,16.463130950927734
2,2014-03-01,17.4412841796875
3,2014-04-01,16.6429386138916
4,2014-05-01,16.30489730834961
5,2014-06-01,17.8872013092041
6,2014-06-04,16.42896842956543
7,2014-07-01,16.42896842956543
8,2014-08-01,17.17640495300293
9,2014-09-01,16.682954788208008
10,2014-09-03,18.58707618713379
11,2014-10-01,18.58707618713379
12,2014-11-01,19.18712615966797
13,2014-12-01,19.157861709594727
14,2014-12-03,20.736465454101562
15,2015-01-01,20.736465454101562
16,2015-02-01,25.35276222229004
17,2015-03-01,26.171306610107422
18,2015-03-05,22.29429054260254
19,2015-04-01,22.29429054260254
20,2015-05-01,21.441381454467773
21,2015-06-01,22.75411605834961
22,2015-06-04,24.08791732788086
23,2015-07-01,24.08791732788086
24,2015-08-01,21.645511627197266
25,2015-09-01,18.814720153808594
26,2015-09-03,20.59058952331543
27,2015-10-01,20.59058952331543
28,2015-11-01,19.11606788635254
29,2015-12-01,18.055320739746094
30,2015-12-03,16.53331756591797
31,2016-01-01,16.53331756591797
32,2016-02-01,18.224567413330078
33,2016-03-01,21.22786521911621
34,2016-03-03,21.541919708251953
35,2016-04-01,21.541919708251953
36,2016-05-01,21.970006942749023
37,2016-06-01,21.106185913085938
38,2016-06-02,22.646387100219727
39,2016-07-01,22.646387100219727
40,2016-08-01,23.408447265625
41,2016-09-01,23.931886672973633
42,2016-09-01,24.369272232055664
43,2016-10-01,24.369272232055664
44,2016-11-01,26.306415557861328
45,2016-12-01,26.073965072631836
46,2016-12-01,26.306415557861328
47,2017-01-01,26.306415557861328
48,2017-02-01,24.435739517211914
49,2017-03-01,24.513683319091797
50,2017-03-09,23.77825355529785
51,2017-04-01,23.77825355529785
52,2017-05-01,17.65711784362793
53,2017-06-01,17.853309631347656
54,2017-06-01,16.15269660949707
55,2017-07-01,16.15269660949707
56,2017-08-01,10.610106468200684
57,2017-09-01,11.639444351196289
58,2017-09-08,11.167859077453613
59,2017-10-01,11.167859077453613
60,2017-11-01,11.449065208435059
61,2017-12-01,12.131991386413574
62,2017-12-01,10.430463790893555
63,2018-01-01,10.430463790893555
64,2018-02-01,12.223199844360352
65,2018-03-01,11.449065208435059
66,2018-03-09,14.404930114746094
67,2018-04-01,14.404930114746094
68,2018-05-01,12.217360496520996
69,2018-06-01,13.125408172607422
70,2018-06-08,13.64184284210205
71,2018-07-01,13.64184284210205
72,2018-08-01,15.943381309509277
73,2018-09-01,17.156919479370117
74,2018-09-07,17.55879783630371
75,2018-09-24,17.55879783630371
76,2018-10-01,17.55879783630371
77,2018-11-01,12.444318771362305
78,2018-12-01,11.195328712463379
79,2018-12-07,13.541105270385742
80,2019-01-01,13.541105270385742
81,2019-02-01,12.968035697937012
82,2019-03-01,13.725968360900879
83,2019-03-08,14.20445442199707
84,2019-04-01,14.20445442199707
85,2019-05-01,11.22489070892334
86,2019-06-01,8.741923332214355
87,2019-06-07,11.28791618347168
88,2019-07-01,11.28791618347168
89,2019-08-01,10.600909233093262
90,2019-09-01,10.209694862365723
91,2019-09-06,9.091919898986816
92,2019-10-01,9.091919898986816
93,2019-11-01,7.937236785888672
94,2019-11-29,7.1958537101745605
95,2019-12-01,7.1958537101745605
96,2020-01-01,6.480244159698486
97,2020-02-01,6.221829414367676
98,2020-03-01,3.1407318115234375
99,2020-03-06,4.920000076293945
100,2020-04-01,4.920000076293945
101,2020-05-01,5.130000114440918
102,2020-06-01,4.289999961853027
103,2020-07-01,4.039999961853027
104,2020-08-01,5.880000114440918
105,2020-09-01,4.710000038146973
106,2020-10-01,2.359999895095825
107,2020-11-01,4.269999980926514
108,2020-12-01,2.119999885559082
109,2021-01-01,13.260000228881836
110,2021-02-01,8.010000228881836
111,2021-03-01,13.020000457763672
